"DisplayName","DisplayVersion","InstallLocation"
"Microsoft.NET.Sdk.Maui.Manifest-6.0.400","24.134.0",""
"Microsoft.NET.Sdk.Maui.Manifest-7.0.100-rc.1","28.0.6430",""
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.300","125.191.42208",""
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.tvOS.Manifest-7.0.100-rc.1","127.187.47038",""
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.27.47141",""
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","56.27.47233",""
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","56.27.47233",""
"Microsoft.NET.Workload.Mono.Toolchain.Manifest (x64)","48.3.47157",""
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","56.3.47274",""
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","56.3.47274",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.ios-arm (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)","6.0.9.0",""
"Mozilla Firefox (x64 en-US)","105.0.3","C:\Program Files\Mozilla Firefox"
"Mozilla Maintenance Service","105.0.1",
"MPC-HC 1.9.23 (64-bit)","1.9.23","C:\Program Files\MPC-HC\"
"Node.js","18.10.0",""
"NordUpdater","1.3.0.73","C:\Program Files\NordUpdater\"
"NordVPN","7.1.1.0","C:\Program Files\NordVPN\"
"NVIDIA Backend","39.4.0.0","C:\Program Files (x86)\NVIDIA Corporation\Update Core"
"NVIDIA Container","1.37","C:\Program Files\NVIDIA Corporation\NvContainer"
"NVIDIA FrameView SDK 1.3.8107.31782123","1.3.8107.31782123","C:\Program Files\NVIDIA Corporation\FrameViewSDK"
"NVIDIA GeForce Experience 3.26.0.131","3.26.0.131","C:\Program Files\NVIDIA Corporation\Installer2\Display.GFExperience.{2984AC0E-183C-47B2-9D75-B0C998BDB62D}"
"NVIDIA GPX Common OSS binaries (POCO, OpenSSL, libprotobuf)","7.1","C:\Program Files\NVIDIA Corporation\Installer2\GpxCommon.Oss.{A2A2C245-868E-4315-8D47-08501B1EFF55}"
"NVIDIA Graphics Driver 522.25","522.25","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{564A695D-83A5-4EE2-AD9B-AAAB92DE1A27}"
"NVIDIA HD Audio Driver 1.3.39.16","1.3.39.16","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{AF3D833B-08F4-460C-99D6-796761591953}"
"NVIDIA Install Application","2.1002.377.0","C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore"
"NVIDIA LocalSystem Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{1CC3845E-04D0-48FE-BF2C-A34AFB1F62C0}"
"NVIDIA Message Bus for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.MessageBus.{0683CE5D-4DA5-4EFA-87CD-10B55F95D830}"
"NVIDIA NetworkService Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ServiceUser.{B51EACF5-91C7-4AA3-839E-617906800FFE}"
"NVIDIA NodeJS","3.26.0.131","C:\Program Files (x86)\NVIDIA Corporation\NvNode"
"NVIDIA NVAPI Monitor plugin for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.NvapiMonitor.{C007232A-DDB7-4734-9A25-1578BA12C16B}"
"NVIDIA NvModuleTracker","6.14.25214.24630","C:\Program Files\NVIDIA Corporation\Installer2\NvModuleTracker.Driver.{5167EF5E-1D53-481E-9FFF-8C381DB2D84B}"
"NVIDIA Optimus Update 39.4.0.0","39.4.0.0","C:\Program Files\NVIDIA Corporation\Installer2\Display.Optimus.{9C4AC0BA-1D9C-404E-BDC3-7694C826E323}"
"NVIDIA PhysX System Software 9.21.0713","9.21.0713","C:\Program Files (x86)\NVIDIA Corporation\PhysX"
"NVIDIA Session Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{B1A4EF3F-D882-42F2-9E2F-7D014CEBBE17}"
"NVIDIA ShadowPlay 3.26.0.131","3.26.0.131","C:\Program Files\NVIDIA Corporation\ShadowPlay"
