"DisplayName","DisplayVersion","InstallLocation"
"Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-x86 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)","6.0.9.0",""
"Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)","6.0.9.0",""
"Native Instruments VC 160 FX","1.4.2.83","C:\Program Files\Native Instruments\VC 160 FX"
"Native Instruments VC 2A FX","1.4.2.83","C:\Program Files\Native Instruments\VC 2A FX"
"Native Instruments VC 76 FX","1.4.2.83","C:\Program Files\Common Files\VST\VC 76 FX"
"NordUpdater","1.3.0.73","C:\Program Files\NordUpdater\"
"NordVPN","6.48.19.0","C:\Program Files\NordVPN\"
"PeaZip 8.8.0 (WIN64)","8.8.0","C:\Program Files\PeaZip\"
"Python 3.10.7 Core Interpreter (64-bit)","3.10.7150.0",""
"Python 3.10.7 Development Libraries (64-bit)","3.10.7150.0",""
"Python 3.10.7 Documentation (64-bit)","3.10.7150.0",""
"Python 3.10.7 Executables (64-bit)","3.10.7150.0",""
"Python 3.10.7 pip Bootstrap (64-bit)","3.10.7150.0",""
"Python 3.10.7 Standard Library (64-bit)","3.10.7150.0",""
"Python 3.10.7 Tcl/Tk Support (64-bit)","3.10.7150.0",""
"Python 3.10.7 Test Suite (64-bit)","3.10.7150.0",""
"Python 3.10.7 Utility Scripts (64-bit)","3.10.7150.0",""
"Sublime Text",,"C:\Program Files\Sublime Text\"
"UE4 Prerequisites (x64)","1.0.14.0",""
"Universal CRT Tools x64","10.1.19041.685",""
"VS JIT Debugger","17.0.118.0",""
"VS Script Debugging Common","17.0.118.0",""
"vs_communityx64msi","17.3.32708",""
"vs_devenx64vmsi","17.3.32708",""
"vs_Graphics_Singletonx64","17.3.32708",""
"vs_minshellinteropx64msi","17.3.32708",""
"vs_minshellx64msi","17.3.32708",""
"Windows App Certification Kit Native Components","10.1.19041.685",""
"Windows PC Health Check","3.6.2204.08001",""
"Windows SDK DirectX x64 Remote","10.1.19041.685",""
"Windows Subsystem for Linux Update","5.10.102.1",""
"Windows Subsystem for Linux WSLg Preview","1.0.27",""
